,mutation_1,mutation_2,crossover_1,crossover_2
"[39, 49, -36, 4, 10, -36, -49, -22, 0, 0]",0.0,0.0,-204.83985061154416,0.0
"[39, 49, -36, 4, 10, -36, -49, -22, 17, 0]",0.0,0.0,-214.89206363601406,0.0
"[39, 49, -36, 4, 10, -36, -49, -22, 17, -21]",0.0,0.0,0.0,0.0
"[45, 0, -6, 0, 0, 0, 0, 0, 0, 0]",-52.300838588625965,0.0,0.0,0.0
"[45, 0, -6, -22, 0, 0, 0, 0, 0, 0]",0.0,0.0,-85.45197715984963,0.0
"[45, 0, -6, -22, -39, 0, 0, 0, 0, 0]",-135.7633578279775,0.0,0.0,0.0
"[45, 0, -6, -22, -39, -49, 0, 0, 0, 0]",0.0,0.0,0.0,-174.76681713948753
"[45, 0, -6, -22, -39, -49, 45, 0, 0, 0]",-185.78512843857484,0.0,0.0,0.0
"[45, 0, -6, -22, -39, -49, 45, 24, 0, 0]",0.0,0.0,0.0,-187.7220876472907
"[45, 0, -6, -22, -39, -49, 45, 24, 10, 0]",0.0,-231.15548088080442,0.0,0.0
"[45, 0, -6, -22, -39, -49, 45, 24, 10, -45]",0.0,0.0,0.0,0.0
"[34, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-104.46509710968982,-157.00172001621974,-69.90919609822694,-73.52349376007066
"[34, 26, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-48.35398646922053,0.0,0.0
"[34, 26, -24, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-48.502502793069766
"[34, 26, -24, -1, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-76.16933983387867
"[34, 26, -24, -1, -36, 0, 0, 0, 0, 0]",0.0,0.0,-78.01450168471838,0.0
"[34, 26, -24, -1, -36, 10, 0, 0, 0, 0]",0.0,-118.57069014899466,0.0,0.0
"[34, 26, -24, -1, -36, 10, 46, 0, 0, 0]",-160.2251807193764,0.0,0.0,0.0
"[34, 26, -24, -1, -36, 10, 46, 46, 0, 0]",-175.1053516486818,0.0,0.0,0.0
"[34, 26, -24, -1, -36, 10, 46, 46, -26, 0]",0.0,0.0,-175.09070595645687,0.0
"[34, 26, -24, -1, -36, 10, 46, 46, -26, 1]",0.0,0.0,0.0,0.0
"[45, -23, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-54.18668869395709,0.0
"[45, -23, 12, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-59.62821536726475,0.0
"[45, -23, 12, -15, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-65.10970650869199
"[45, -23, 12, -15, -15, 0, 0, 0, 0, 0]",-116.70471442636777,0.0,0.0,0.0
"[45, -23, 12, -15, -15, 51, 0, 0, 0, 0]",0.0,0.0,0.0,-133.23438270518272
"[45, -23, 12, -15, -15, 51, 29, 0, 0, 0]",0.0,-139.81396962936313,0.0,0.0
"[45, -23, 12, -15, -15, 51, 29, -17, 0, 0]",-161.41187647622561,0.0,0.0,0.0
"[45, -23, 12, -15, -15, 51, 29, -17, -31, 0]",0.0,0.0,0.0,-182.30822938942322
"[45, -23, 12, -15, -15, 51, 29, -17, -31, -31]",0.0,0.0,0.0,0.0
"[-24, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-74.49956540265053,-81.17901128436398,-87.7025237861926,-78.06811694589439
"[-24, 48, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-92.72286747634512,0.0,0.0
"[-24, 48, 42, 0, 0, 0, 0, 0, 0, 0]",0.0,-105.46649314204582,0.0,0.0
"[-24, 48, 42, -24, 0, 0, 0, 0, 0, 0]",0.0,-105.67537859079822,0.0,0.0
"[-24, 48, 42, -24, -2, 0, 0, 0, 0, 0]",0.0,-105.94107938095418,0.0,0.0
"[-24, 48, 42, -24, -2, 4, 0, 0, 0, 0]",0.0,0.0,0.0,-132.65493984503144
"[-24, 48, 42, -24, -2, 4, 37, 0, 0, 0]",0.0,0.0,-175.74551088170134,0.0
"[-24, 48, 42, -24, -2, 4, 37, -45, 0, 0]",0.0,-180.03030691065084,0.0,0.0
"[-24, 48, 42, -24, -2, 4, 37, -45, 15, 0]",0.0,-207.2049159930739,0.0,0.0
"[-24, 48, 42, -24, -2, 4, 37, -45, 15, -35]",0.0,0.0,0.0,0.0
"[-30, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-99.06733311116037,-128.755383297849,-167.94537219515695,-159.2570040162375
"[-30, -32, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-42.70276001225849
"[-30, -32, 2, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-86.69786070119385
"[-30, -32, 2, -45, 0, 0, 0, 0, 0, 0]",0.0,0.0,-86.77199943879637,0.0
"[-30, -32, 2, -45, 3, 0, 0, 0, 0, 0]",-112.22250673129525,0.0,0.0,0.0
"[-30, -32, 2, -45, 3, 36, 0, 0, 0, 0]",0.0,0.0,-116.85543102396478,0.0
"[-30, -32, 2, -45, 3, 36, -14, 0, 0, 0]",0.0,0.0,0.0,-158.6295693020793
"[-30, -32, 2, -45, 3, 36, -14, -44, 0, 0]",0.0,0.0,-177.98310732400464,0.0
"[-30, -32, 2, -45, 3, 36, -14, -44, -30, 0]",0.0,0.0,0.0,-210.86981942437808
"[-30, -32, 2, -45, 3, 36, -14, -44, -30, 41]",0.0,0.0,0.0,0.0
